timestamp,thread_id,event
datetime,string,string
,,
2014-05-03 20:34:19.389725,Thread 8292,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:19.397607,Thread 8292,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
2014-05-03 20:34:19.501425,Thread 8292,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:19.501511,Thread 8292,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
2014-05-03 20:34:19.609803,Thread 8292,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:19.610183,Thread 8292,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
2014-05-03 20:34:19.702531,Thread 8292,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:19.702544,Thread 8292,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
2014-05-03 20:34:20.628284,Thread 8416,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:20.633307,Thread 8416,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
2014-05-03 20:34:20.740064,Thread 8416,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:20.740088,Thread 8416,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
2014-05-03 20:34:20.843817,Thread 8416,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:20.844218,Thread 8416,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
2014-05-03 20:34:20.937929,Thread 8416,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:20.937947,Thread 8416,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
2014-05-03 20:34:22.578635,Thread 8488,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 114 Stop)
2014-05-03 20:34:22.591753,Thread 8488,(Microsoft-IEFRAME Browseui_Tabs_WaitMessage 113 Start)
